1,1080,Note_on_c,3,72,89
1,1080,Text_t,157.895,NA,NA
1,1080,Text_t,3328,NA,NA
1,1080,Tempo,379999,NA,NA
1,1170,Note_off_c,2,52,95
1,1170,Note_off_c,3,64,89
1,1170,Note_off_c,3,72,89
1,1170,Note_on_c,2,56,83
1,1170,Note_on_c,3,62,86
1,1170,Note_on_c,3,70,86
1,1200,Note_off_c,2,56,83
1,1200,Note_off_c,3,62,86
1,1200,Note_off_c,3,70,86
1,1200,Note_on_c,2,57,86
1,1200,Note_on_c,3,60,83
1,1200,Note_on_c,3,69,83
1,1200,Text_t,179.104,NA,NA
1,1200,Text_t,3708,NA,NA
1,1200,Tempo,335001,NA,NA
1,1320,Text_t,4043,NA,NA
1,1440,Note_off_c,2,45,95
1,1440,Note_off_c,2,57,86
1,1440,Note_off_c,3,60,83
1,1440,Note_off_c,3,69,83
1,1440,Note_on_c,2,46,87
1,1440,Note_on_c,2,53,87
1,1440,Note_on_c,3,62,92
1,1440,Note_on_c,3,65,92
1,1440,Text_t,166.667,NA,NA
1,1440,Text_t,4378,NA,NA
1,1440,Tempo,359999,NA,NA
1,1530,Note_off_c,2,46,87
1,1530,Note_off_c,2,53,87
1,1530,Note_off_c,3,62,92
1,1530,Note_off_c,3,65,92
1,1530,Note_on_c,2,46,81
1,1530,Note_on_c,2,53,81
1,1530,Note_on_c,3,62,88
1,1530,Note_on_c,3,65,88
1,1560,Note_off_c,2,46,81
1,1560,Note_off_c,2,53,81
1,1560,Note_off_c,3,62,88
1,1560,Note_off_c,3,65,88
1,1560,Note_on_c,2,46,85
1,1560,Note_on_c,2,53,85
1,1560,Note_on_c,3,62,82
1,1560,Note_on_c,3,65,82
1,1560,Text_t,181.818,NA,NA
1,1560,Text_t,4738,NA,NA
1,1560,Tempo,330000,NA,NA
1,1680,Note_off_c,2,46,85
1,1680,Note_off_c,2,53,85
1,1680,Note_off_c,3,62,82
1,1680,Note_off_c,3,65,82
1,1680,Note_on_c,2,46,83
1,1680,Note_on_c,2,53,83
1,1680,Note_on_c,3,62,88
1,1680,Note_on_c,3,70,88
1,1680,Text_t,171.429,NA,NA
1,1680,Text_t,5068,NA,NA
1,1680,Tempo,349999,NA,NA
1,1800,Note_off_c,2,46,83
1,1800,Note_off_c,2,53,83
1,1800,Note_off_c,3,62,88
1,1800,Note_off_c,3,70,88
1,1800,Note_on_c,2,41,94
1,1800,Note_on_c,2,53,94
1,1800,Note_on_c,3,60,92
1,1800,Note_on_c,3,69,92
1,1800,Text_t,166.667,NA,NA
1,1800,Text_t,5418,NA,NA
1,1800,Tempo,359999,NA,NA
1,1890,Note_off_c,2,41,94
1,1890,Note_off_c,2,53,94
1,1890,Note_off_c,3,60,92
1,1890,Note_off_c,3,69,92
1,1890,Note_on_c,2,41,80
1,1890,Note_on_c,2,53,80
1,1890,Note_on_c,3,58,89
1,1890,Note_on_c,3,67,89
1,1920,Note_off_c,2,41,80
1,1920,Note_off_c,2,53,80
1,1920,Note_off_c,3,58,89
1,1920,Note_off_c,3,67,89
1,1920,Note_on_c,2,41,83
1,1920,Note_on_c,2,53,83
1,1920,Note_on_c,3,57,90
1,1920,Note_on_c,3,65,90
1,1920,Text_t,181.818,NA,NA
1,1920,Text_t,5778,NA,NA
1,1920,Tempo,330000,NA,NA
1,2040,Note_off_c,2,41,83
1,2040,Note_off_c,2,53,83
1,2040,Note_off_c,3,57,90
