1, 1170, Note_on_c, 3, 70, 86
1, 1200, Note_off_c, 2, 56, 83
1, 1200, Note_off_c, 3, 62, 86
1, 1200, Note_off_c, 3, 70, 86
1, 1200, Note_on_c, 2, 57, 86
1, 1200, Note_on_c, 3, 60, 83
1, 1200, Note_on_c, 3, 69, 83
1, 1200, Text_t, "179.104"
1, 1200, Text_t, "3708"
1, 1200, Tempo, 335001
1, 1320, Text_t, "4043"
1, 1440, Note_off_c, 2, 45, 95
1, 1440, Note_off_c, 2, 57, 86
1, 1440, Note_off_c, 3, 60, 83
1, 1440, Note_off_c, 3, 69, 83
1, 1440, Note_on_c, 2, 46, 87
1, 1440, Note_on_c, 2, 53, 87
1, 1440, Note_on_c, 3, 62, 92
1, 1440, Note_on_c, 3, 65, 92
1, 1440, Text_t, "166.667"
1, 1440, Text_t, "4378"
1, 1440, Tempo, 359999
1, 1530, Note_off_c, 2, 46, 87
1, 1530, Note_off_c, 2, 53, 87
1, 1530, Note_off_c, 3, 62, 92
1, 1530, Note_off_c, 3, 65, 92
1, 1530, Note_on_c, 2, 46, 81
1, 1530, Note_on_c, 2, 53, 81
1, 1530, Note_on_c, 3, 62, 88
1, 1530, Note_on_c, 3, 65, 88
1, 1560, Note_off_c, 2, 46, 81
1, 1560, Note_off_c, 2, 53, 81
1, 1560, Note_off_c, 3, 62, 88
1, 1560, Note_off_c, 3, 65, 88
1, 1560, Note_on_c, 2, 46, 85
1, 1560, Note_on_c, 2, 53, 85
1, 1560, Note_on_c, 3, 62, 82
1, 1560, Note_on_c, 3, 65, 82
1, 1560, Text_t, "181.818"
1, 1560, Text_t, "4738"
1, 1560, Tempo, 330000
1, 1680, Note_off_c, 2, 46, 85
1, 1680, Note_off_c, 2, 53, 85
1, 1680, Note_off_c, 3, 62, 82
1, 1680, Note_off_c, 3, 65, 82
1, 1680, Note_on_c, 2, 46, 83
1, 1680, Note_on_c, 2, 53, 83
1, 1680, Note_on_c, 3, 62, 88
1, 1680, Note_on_c, 3, 70, 88
1, 1680, Text_t, "171.429"
1, 1680, Text_t, "5068"
1, 1680, Tempo, 349999
1, 1800, Note_off_c, 2, 46, 83
1, 1800, Note_off_c, 2, 53, 83
1, 1800, Note_off_c, 3, 62, 88
1, 1800, Note_off_c, 3, 70, 88
1, 1800, Note_on_c, 2, 41, 94
1, 1800, Note_on_c, 2, 53, 94
1, 1800, Note_on_c, 3, 60, 92
1, 1800, Note_on_c, 3, 69, 92
1, 1800, Text_t, "166.667"
1, 1800, Text_t, "5418"
1, 1800, Tempo, 359999
1, 1890, Note_off_c, 2, 41, 94
1, 1890, Note_off_c, 2, 53, 94
1, 1890, Note_off_c, 3, 60, 92
1, 1890, Note_off_c, 3, 69, 92
1, 1890, Note_on_c, 2, 41, 80
1, 1890, Note_on_c, 2, 53, 80
1, 1890, Note_on_c, 3, 58, 89
1, 1890, Note_on_c, 3, 67, 89
1, 1920, Note_off_c, 2, 41, 80
1, 1920, Note_off_c, 2, 53, 80
1, 1920, Note_off_c, 3, 58, 89
1, 1920, Note_off_c, 3, 67, 89
1, 1920, Note_on_c, 2, 41, 83
1, 1920, Note_on_c, 2, 53, 83
1, 1920, Note_on_c, 3, 57, 90
1, 1920, Note_on_c, 3, 65, 90
1, 1920, Text_t, "181.818"
1, 1920, Text_t, "5778"
1, 1920, Tempo, 330000
1, 2040, Note_off_c, 2, 41, 83
1, 2040, Note_off_c, 2, 53, 83
1, 2040, Note_off_c, 3, 57, 90
1, 2040, Note_off_c, 3, 65, 90
1, 2040, Note_on_c, 2, 46, 84
1, 2040, Note_on_c, 2, 53, 84
1, 2040, Note_on_c, 3, 62, 83
1, 2040, Note_on_c, 3, 70, 83
1, 2040, Text_t, "6108"
1, 2160, Note_off_c, 2, 46, 84
1, 2160, Note_off_c, 2, 53, 84
1, 2160, Note_off_c, 3, 62, 83
1, 2160, Note_off_c, 3, 70, 83
1, 2160, Note_on_c, 2, 53, 91
1, 2160, Note_on_c, 2, 41, 91
1, 2160, Note_on_c, 3, 60, 93
1, 2160, Note_on_c, 3, 69, 93
1, 2160, Text_t, "182.371"
1, 2160, Text_t, "6438"
1, 2160, Tempo, 329000
1, 2250, Note_off_c, 2, 53, 91
1, 2250, Note_off_c, 3, 60, 93
1, 2250, Note_off_c, 3, 69, 93
1, 2250, Note_on_c, 2, 53, 82
1, 2250, Note_on_c, 3, 58, 87
1, 2250, Note_on_c, 3, 67, 87
1, 2280, Note_off_c, 2, 53, 82
1, 2280, Note_off_c, 3, 58, 87
1, 2280, Note_off_c, 3, 67, 87
1, 2280, Note_on_c, 2, 53, 84
1, 2280, Note_on_c, 3, 57, 80
1, 2280, Note_on_c, 3, 65, 80
1, 2280, Text_t, "169.972"
1, 2280, Text_t, "6767"
1, 2280, Tempo, 352999
1, 2400, Note_off_c, 2, 41, 91
1, 2400, Note_off_c, 2, 53, 84
1, 2400, Note_off_c, 3, 57, 80
1, 2400, Note_off_c, 3, 65, 80
1, 2400, Note_on_c, 2, 50, 87
1, 2400, Note_on_c, 2, 43, 87
1, 2400, Note_on_c, 3, 59, 83
1, 2400, Note_on_c, 3, 67, 83
1, 2400, Text_t, "136.986"
1, 2400, Text_t, "7120"
1, 2400, Tempo, 438001
1, 2460, Note_off_c, 2, 50, 87
1, 2460, Note_on_c, 2, 55, 83
1, 2520, Note_off_c, 2, 43, 87
1, 2520, Note_off_c, 2, 55, 83
1, 2520, Note_off_c, 3, 59, 83
1, 2520, Note_off_c, 3, 67, 83
1, 2520, Note_on_c, 2, 55, 89
1, 2520, Note_on_c, 2, 48, 89
1, 2520, Note_on_c, 3, 60, 90
1, 2520, Note_on_c, 3, 64, 90
1, 2520, Text_t, "144.578"
1, 2520, Text_t, "7558"
1, 2520, Tempo, 415001
1, 2610, Note_off_c, 2, 55, 89
1, 2610, Note_off_c, 3, 60, 90
1, 2610, Note_off_c, 3, 64, 90
1, 2610, Note_on_c, 2, 53, 88
1, 2610, Note_on_c, 3, 62, 89
1, 2640, Note_off_c, 2, 53, 88
1, 2640, Note_off_c, 3, 62, 89
1, 2640, Note_on_c, 2, 52, 86
1, 2640, Note_on_c, 3, 60, 87
1, 2640, Text_t, "136.054"
1, 2640, Text_t, "7973"
1, 2640, Tempo, 441001
1, 2760, Text_t, "179.641"
1, 2760, Text_t, "8414"
1, 2760, Tempo, 333999
1, 2880, Note_off_c, 2, 48, 89
1, 2880, Note_off_c, 2, 52, 86
1, 2880, Note_off_c, 3, 60, 87
1, 2880, Note_on_c, 2, 53, 49
1, 2880, Note_on_c, 2, 60, 49
1, 2880, Note_on_c, 3, 69, 48
1, 2880, Note_on_c, 3, 72, 48
1, 2880, Text_t, "162.162"
1, 2880, Text_t, "8748"
1, 2880, Text_t, "p"
1, 2880, Tempo, 370000
1, 2970, Note_off_c, 2, 53, 49
1, 2970, Note_off_c, 2, 60, 49
1, 2970, Note_off_c, 3, 69, 48
1, 2970, Note_off_c, 3, 72, 48
1, 2970, Note_on_c, 2, 53, 41
1, 2970, Note_on_c, 2, 60, 41
1, 2970, Note_on_c, 3, 69, 46
1, 2970, Note_on_c, 3, 72, 46
1, 3000, Note_off_c, 2, 53, 41
1, 3000, Note_off_c, 2, 60, 41
1, 3000, Note_off_c, 3, 69, 46
1, 3000, Note_off_c, 3, 72, 46
1, 3000, Note_on_c, 2, 53, 43
1, 3000, Note_on_c, 2, 60, 43
1, 3000, Note_on_c, 3, 69, 45
1, 3000, Note_on_c, 3, 72, 45
1, 3000, Text_t, "171.429"
1, 3000, Text_t, "9118"
1, 3000, Tempo, 349999
1, 3120, Note_off_c, 2, 53, 43
1, 3120, Note_off_c, 2, 60, 43
1, 3120, Note_off_c, 3, 69, 45
1, 3120, Note_off_c, 3, 72, 45
1, 3120, Note_on_c, 2, 53, 46
1, 3120, Note_on_c, 2, 60, 46
1, 3120, Note_on_c, 3, 69, 50
1, 3120, Note_on_c, 3, 77, 50
1, 3120, Text_t, "166.667"
1, 3120, Text_t, "9468"
1, 3120, Tempo, 359999
1, 3240, Note_off_c, 2, 53, 46
1, 3240, Note_off_c, 2, 60, 46
1, 3240, Note_off_c, 3, 69, 50
1, 3240, Note_off_c, 3, 77, 50
1, 3240, Note_on_c, 2, 55, 52
1, 3240, Note_on_c, 2, 60, 52
1, 3240, Note_on_c, 2, 48, 52
1, 3240, Note_on_c, 3, 67, 48
1, 3240, Note_on_c, 3, 76, 48
1, 3240, Text_t, "150"
1, 3240, Text_t, "9828"
1, 3240, Tempo, 400000
1, 3330, Note_off_c, 2, 55, 52
1, 3330, Note_off_c, 2, 60, 52
1, 3330, Note_off_c, 3, 67, 48
1, 3330, Note_off_c, 3, 76, 48
1, 3330, Note_on_c, 2, 59, 49
1, 3330, Note_on_c, 3, 65, 45
1, 3330, Note_on_c, 3, 74, 45
1, 3360, Note_off_c, 2, 59, 49
1, 3360, Note_off_c, 3, 65, 45
1, 3360, Note_off_c, 3, 74, 45
1, 3360, Note_on_c, 2, 60, 41
1, 3360, Note_on_c, 3, 64, 41
1, 3360, Note_on_c, 3, 72, 41
1, 3360, Text_t, "179.104"
1, 3360, Text_t, "10228"
1, 3360, Tempo, 335001
1, 3480, Text_t, "10563"
1, 3600, Note_off_c, 2, 48, 52
1, 3600, Note_off_c, 2, 60, 41
1, 3600, Note_off_c, 3, 64, 41
1, 3600, Note_off_c, 3, 72, 41
1, 3600, Note_on_c, 2, 50, 48
1, 3600, Note_on_c, 2, 57, 48
1, 3600, Note_on_c, 3, 65, 56
1, 3600, Note_on_c, 3, 69, 56
1, 3600, Text_t, "166.667"
1, 3600, Text_t, "10898"
1, 3600, Tempo, 359999
1, 3690, Note_off_c, 2, 50, 48
1, 3690, Note_off_c, 2, 57, 48
1, 3690, Note_off_c, 3, 65, 56
1, 3690, Note_off_c, 3, 69, 56
1, 3690, Note_on_c, 2, 50, 45
1, 3690, Note_on_c, 2, 57, 45
1, 3690, Note_on_c, 3, 65, 43
1, 3690, Note_on_c, 3, 69, 43
1, 3720, Note_off_c, 2, 50, 45
1, 3720, Note_off_c, 2, 57, 45
1, 3720, Note_off_c, 3, 65, 43
1, 3720, Note_off_c, 3, 69, 43
1, 3720, Note_on_c, 2, 50, 48
