###performance-id:	pid9073b-25
###title:	        Mazurka in F major, Op. 68, No. 3
###trials:	        1
###date:	        2006/10/30/
###reverse-conductor:	Craig Stuart Sapp
###performer:	        Joyce Hatto
###performance-date:	1997
###label:	        Concert Artist 92712
###label-title:	        Chopin: The Mazurkas
###offset:		0
###COM: Chopin, Frederic
###CDT: 1810///-1849///
###OTL: Mazurka in F Major, Op. 68, No. 3
###OPS: Op. 68
###ONM: No. 3
###OMD: Allegro ma non troppo
###ODT: ~1830///
###PDT: 1855///
###PPP: Berlin
###AIN: piano
###PARAM_k:		20
###PARAM_window:	Han
###PARAM_freqcor:	0.00000
###PARAM_lpforder:	300
###PARAM_lpfcutoff:	0.00100
###PARAM_processdate:	2008/03/08/
1.183	20.357	1:1
1.507	21.767	1:1.75
1.615	23.554	1:2
2.272	18.532	1:3
2.900	7.405	2:1
3.248	20.104	2:1.75
3.365	20.467	2:2
4.428	14.097	3:1
4.768	16.917	3:1.75
4.881	20.649	3:2
5.497	26.018	3:3
6.057	20.241	4:1
6.486	10.866	4:1.75
6.630	13.300	4:2
7.814	9.375	5:1
8.124	13.274	5:1.75
8.227	14.838	5:2
8.926	20.671	5:3
9.472	14.078	6:1
9.807	13.233	6:1.75
9.919	14.476	6:2
10.588	21.482	6:3
11.165	11.607	7:1
11.585	9.882	7:1.75
11.724	12.175	7:2
12.270	7.585	7:3
12.523	12.676	7:3.5
12.776	12.164	8:1
13.431	7.966	8:1.75
13.649	9.051	8:2
15.090	10.237	9:1
15.485	14.196	9:1.75
15.617	15.605	9:2
16.244	13.619	9:3
16.871	4.505	10:1
17.288	14.269	10:1.75
17.428	15.303	10:2
18.636	7.896	11:1
19.068	10.025	11:1.75
19.212	10.555	11:2
19.731	18.694	11:3
20.273	10.194	12:1
20.707	4.712	12:1.75
20.851	7.179	12:2
22.071	3.109	13:1
22.505	9.307	13:1.75
22.649	11.321	13:2
23.188	15.703	13:3
23.747	9.419	14:1
24.062	10.303	14:1.75
24.167	9.675	14:2
24.863	14.610	14:3
25.469	6.733	15:1
25.889	6.114	15:1.75
26.029	9.857	15:2
26.631	7.532	15:3
27.247	1.352	16:1
27.750	-0.818	16:1.5
28.252	-0.863	16:2
29.749	22.761	17:1
30.096	20.507	17:1.75
30.212	22.267	17:2
30.885	19.241	17:3
31.377	20.754	18:1
31.794	18.681	18:1.75
31.933	22.303	18:2
32.494	18.937	18:3
33.094	22.365	19:1
33.417	21.210	19:1.75
33.524	19.643	19:2
34.202	20.564	19:3
34.789	21.525	20:1
35.316	22.132	20:1.75
35.492	22.143	20:2
36.867	3.566	21:1
37.282	10.499	21:1.75
