###performance-id:	pid9111b-21
###title:		Mazurka in F major, Op. 68, No. 3
###trials:		1
###date: 		2007/12/14/
###reverse-conductor:	Craig Stuart Sapp
###performer: 		Andrzej Wasowski
###performance-date:	1980
###label:		Concord CCD-42036
###label-title:		Chopin 51 Mazurkas
###offset:		0
###COM: Chopin, Frederic
###CDT: 1810///-1849///
###OTL: Mazurka in F Major, Op. 68, No. 3
###OPS: Op. 68
###ONM: No. 3
###OMD: Allegro ma non troppo
###ODT: ~1830///
###PDT: 1855///
###PPP: Berlin
###AIN: piano
###PARAM_k:		20
###PARAM_window:	Han
###PARAM_freqcor:	0.00000
###PARAM_lpforder:	300
###PARAM_lpfcutoff:	0.00100
###PARAM_processdate:	2008/03/08/
0.145	28.959	1:1
0.480	28.140	1:1.75
0.591	32.202	1:2
1.144	28.868	1:3
1.627	27.158	2:1
2.111	24.267	2:1.75
2.273	32.337	2:2
3.334	31.508	3:1
3.660	30.949	3:1.75
3.769	32.518	3:2
4.192	28.756	3:3
4.663	32.391	4:1
5.130	24.834	4:1.75
5.285	31.390	4:2
6.276	24.694	5:1
6.568	27.126	5:1.75
6.665	29.076	5:2
7.118	28.813	5:3
7.534	30.842	6:1
7.860	26.538	6:1.75
7.968	29.597	6:2
8.400	29.384	6:3
8.829	27.849	7:1
9.126	24.395	7:1.75
9.226	22.391	7:2
9.690	25.743	7:3
9.976	20.043	7:3.5
10.262	24.415	8:1
10.757	21.413	8:1.75
10.922	25.559	8:2
12.897	24.927	9:1
13.271	24.893	9:1.75
13.396	26.216	9:2
13.839	19.680	9:3
14.306	16.254	10:1
14.733	17.396	10:1.75
14.875	25.109	10:2
15.880	26.649	11:1
16.210	26.676	11:1.75
16.320	27.885	11:2
16.720	25.075	11:3
17.150	26.516	12:1
17.723	21.455	12:1.75
17.913	28.357	12:2
19.055	20.898	13:1
19.420	20.369	13:1.75
19.541	20.819	13:2
19.904	26.322	13:3
20.310	28.678	14:1
20.698	23.352	14:1.75
20.828	25.660	14:2
21.260	28.759	14:3
21.735	26.679	15:1
22.046	22.028	15:1.75
22.149	22.437	15:2
22.624	27.447	15:3
23.185	23.871	16:1
23.559	21.814	16:1.5
23.933	25.096	16:2
25.650	34.623	17:1
25.968	31.681	17:1.75
26.074	34.967	17:2
26.656	26.645	17:3
27.064	32.125	18:1
27.436	26.293	18:1.75
27.560	33.714	18:2
27.999	32.542	18:3
28.436	33.285	19:1
28.702	33.133	19:1.75
28.791	34.947	19:2
29.265	25.962	19:3
29.740	32.690	20:1
30.163	27.395	20:1.75
30.304	30.068	20:2
32.160	26.146	21:1
32.469	24.770	21:1.75
32.572	28.216	21:2
33.131	23.145	21:3
33.553	28.724	22:1
33.952	20.456	22:1.75
34.085	27.008	22:2
34.627	24.987	22:3
35.139	27.572	23:1
35.516	28.182	23:1.75
35.642	30.470	23:2
36.182	22.362	23:3
36.722	27.838	24:1
37.404	27.224	24:1.75
37.631	28.909	24:2
40.213	29.637	25:1
40.538	23.602	25:1.75
40.646	29.842	25:2
41.198	27.137	25:3
41.629	26.174	26:1
42.047	22.388	26:1.75
42.186	30.161	26:2
43.216	27.893	27:1
43.480	26.886	27:1.75
43.568	25.482	27:2
44.061	26.957	27:3
44.511	28.167	28:1
44.924	22.763	28:1.75
45.061	30.697	28:2
46.009	23.931	29:1
46.334	27.255	29:1.75
46.442	26.129	29:2
46.834	27.283	29:3
47.238	28.702	30:1
47.623	22.253	30:1.75
47.751	23.950	30:2
48.181	28.418	30:3
48.721	27.413	31:1
49.068	22.102	31:1.75
49.184	23.294	31:2
49.729	28.162	31:3
50.465	23.276	32:1
50.983	23.758	32:1.5
51.500	27.235	32:2
54.323	11.703	33:1
54.554	14.295	33:2
54.808	14.488	33:3
54.975	15.371	34:1
55.221	16.036	34:2
55.450	13.803	34:3
55.697	14.123	35:1
56.008	21.493	35:2
56.213	17.271	35:3
56.544	18.402	36:1
56.792	16.829	36:2
57.222	19.659	36:3
57.574	23.723	37:1
57.836	18.545	37:2
57.979	14.749	37:2.5
58.123	20.650	37:3
58.237	21.359	37:3.5
58.352	21.055	38:1
58.447	21.092	38:1.5
58.542	17.053	38:2
58.707	17.253	38:2.5
58.873	26.689	38:3
59.225	18.353	39:1
59.317	17.837	39:1.5
59.408	13.544	39:2
59.555	9.121	39:2.5
59.702	18.260	39:3
59.844	20.765	39:3.5
59.986	18.859	40:1
60.091	20.055	40:1.5
60.196	16.258	40:2
60.383	18.646	40:2.5
60.570	15.884	40:3
60.976	21.404	41:1
61.262	14.322	41:2
61.402	9.936	41:2.5
61.542	17.984	41:3
61.679	18.662	41:3.5
61.815	18.272	42:1
61.916	19.623	42:1.5
62.016	12.746	42:2
62.173	14.580	42:2.5
62.330	23.714	42:3
62.689	18.043	43:1
62.783	17.234	43:1.5
62.878	12.281	43:2
63.039	6.267	43:2.5
63.201	15.133	43:3
63.376	18.476	43:3.5
63.550	18.276	44:1
63.776	18.215	44:1.5
64.003	15.592	44:2
64.330	13.706	44:2.5
64.658	13.795	44:3
65.850	24.899	45:1
66.249	26.596	45:1.75
66.382	31.055	45:2
67.002	30.568	45:3
67.538	28.432	46:1
68.052	23.175	46:1.75
68.224	31.975	46:2
69.544	30.563	47:1
69.836	28.508	47:1.75
69.934	26.757	47:2
70.454	26.453	47:3
70.970	31.331	48:1
71.432	24.534	48:1.75
71.586	29.298	48:2
72.745	23.114	49:1
73.030	23.140	49:1.75
73.125	24.556	49:2
73.620	30.098	49:3
74.039	30.310	50:1
74.388	25.140	50:1.75
74.505	29.039	50:2
75.023	29.206	50:3
75.517	27.822	51:1
75.879	22.238	51:1.75
76.000	24.623	51:2
76.475	24.793	51:3
76.821	18.239	51:3.5
77.166	23.430	52:1
77.798	20.978	52:1.75
78.009	22.698	52:2
80.360	22.556	53:1
80.806	22.122	53:1.75
80.955	24.746	53:2
81.475	19.019	53:3
82.010	16.861	54:1
82.520	15.431	54:1.75
82.689	18.937	54:2
83.936	22.778	55:1
84.230	23.474	55:1.75
84.328	26.236	55:2
84.890	23.973	55:3
85.419	25.296	56:1
86.038	18.874	56:1.75
86.245	24.897	56:2
87.645	19.617	57:1
87.922	20.496	57:1.75
88.014	20.925	57:2
88.543	23.878	57:3
88.972	25.974	58:1
89.303	20.098	58:1.75
89.413	22.384	58:2
89.899	25.708	58:3
90.406	24.080	59:1
90.761	16.344	59:1.75
90.880	18.522	59:2
91.471	22.210	59:3
92.328	18.411	60:1
92.935	18.399	60:1.5
93.542	15.151	60:2
