###performance-id:	pid610003b-23
###title:		Mazurka in F major, Op. 68, No. 3
###trials:		1
###date: 		2008/03/05/
###reverse-conductor:	Craig Stuart Sapp
###performer: 		Joyce Hatto
###performance-date:	1993
###label:		Con. Artist FED4-TC-0116/7
###label-title:		Chopin Mazurkas
###offset:		0
###COM: Chopin, Frederic
###CDT: 1810///-1849///
###OTL: Mazurka in F Major, Op. 68, No. 3
###OPS: Op. 68
###ONM: No. 3
###OMD: Allegro ma non troppo
###ODT: ~1830///
###PDT: 1855///
###PPP: Berlin
###AIN: piano
###PARAM_k:		20
###PARAM_window:	Han
###PARAM_freqcor:	0.00000
###PARAM_lpforder:	300
###PARAM_lpfcutoff:	0.00100
###PARAM_processdate:	2008/03/08/
2.186	18.935	1:1
2.501	19.805	1:1.75
2.606	21.257	1:2
3.251	16.440	1:3
3.821	7.350	2:1
4.186	17.338	2:1.75
4.308	15.762	2:2
5.346	13.308	3:1
5.722	15.142	3:1.75
5.848	17.170	3:2
6.384	24.364	3:3
6.928	16.745	4:1
7.344	7.450	4:1.75
7.483	9.864	4:2
8.634	8.271	5:1
9.007	11.429	5:1.75
9.132	13.459	5:2
9.719	19.313	5:3
10.253	9.964	6:1
10.569	11.069	6:1.75
10.675	10.011	6:2
11.335	20.487	6:3
11.896	8.498	7:1
12.263	8.728	7:1.75
12.385	7.419	7:2
12.979	10.317	7:3
13.321	12.467	7:3.5
13.663	12.186	8:1
14.154	6.379	8:1.75
14.317	7.348	8:2
15.711	9.452	9:1
16.096	13.942	9:1.75
16.224	13.173	9:2
16.838	13.769	9:3
17.446	4.837	10:1
17.849	13.144	10:1.75
17.984	11.072	10:2
19.160	5.613	11:1
19.548	5.623	11:1.75
19.678	8.880	11:2
20.225	17.908	11:3
20.751	7.610	12:1
21.173	0.598	12:1.75
21.313	3.173	12:2
22.501	1.783	13:1
22.899	7.070	13:1.75
23.032	9.191	13:2
23.586	15.141	13:3
24.133	6.421	14:1
24.508	8.222	14:1.75
24.632	6.404	14:2
25.219	14.802	14:3
25.753	4.037	15:1
26.167	5.439	15:1.75
26.305	6.939	15:2
26.944	9.734	15:3
27.769	-0.677	16:1
28.135	1.718	16:1.5
28.502	-1.723	16:2
29.967	19.816	17:1
30.300	17.953	17:1.75
30.411	17.401	17:2
31.076	17.540	17:3
31.556	20.594	18:1
31.962	16.289	18:1.75
32.098	21.059	18:2
32.644	18.347	18:3
33.221	18.847	19:1
33.537	14.804	19:1.75
33.642	13.504	19:2
34.299	17.819	19:3
34.873	21.336	20:1
35.384	19.476	20:1.75
35.555	20.378	20:2
36.891	1.971	21:1
37.293	10.176	21:1.75
37.427	12.753	21:2
37.985	8.250	21:3
38.478	14.249	22:1
38.887	10.934	22:1.75
39.023	12.660	22:2
39.626	8.352	22:3
40.243	11.941	23:1
40.608	8.456	23:1.75
40.730	10.988	23:2
41.520	12.968	23:3
42.282	16.341	24:1
43.093	16.103	24:1.75
43.363	8.966	24:2
45.462	2.475	25:1
45.862	11.305	25:1.75
45.995	16.701	25:2
46.604	10.776	25:3
47.220	4.292	26:1
47.641	13.168	26:1.75
47.782	8.742	26:2
48.995	4.537	27:1
49.367	8.063	27:1.75
49.490	9.924	27:2
50.068	18.892	27:3
50.665	7.740	28:1
51.086	-0.090	28:1.75
51.226	0.916	28:2
52.496	3.780	29:1
52.887	8.315	29:1.75
53.018	8.313	29:2
53.565	16.642	29:3
54.115	8.141	30:1
54.423	7.990	30:1.75
54.526	8.046	30:2
55.232	15.576	30:3
55.804	4.387	31:1
56.220	4.805	31:1.75
56.359	4.273	31:2
57.074	10.621	31:3
57.904	3.490	32:1
58.401	5.062	32:1.5
58.899	1.050	32:2
60.674	-13.865	33:1
60.914	-7.700	33:2
61.228	-4.651	33:3
61.633	-2.836	34:1
61.853	-2.386	34:2
62.165	-3.023	34:3
62.493	-4.388	35:1
62.837	3.555	35:2
63.071	4.465	35:3
63.381	4.230	36:1
63.703	4.034	36:2
64.065	5.845	36:3
64.342	7.334	37:1
64.644	5.415	37:2
64.797	-12.448	37:2.5
64.950	3.219	37:3
65.110	7.592	37:3.5
65.269	5.176	38:1
65.408	6.423	38:1.5
65.547	6.121	38:2
65.693	-6.230	38:2.5
65.839	6.770	38:3
66.207	6.313	39:1
66.346	6.144	39:1.5
66.486	5.932	39:2
66.618	-6.853	39:2.5
66.750	6.089	39:3
66.854	6.739	39:3.5
66.958	3.466	40:1
67.123	6.383	40:1.5
67.287	6.387	40:2
67.438	6.246	40:2.5
67.588	12.025	40:3
67.840	6.147	41:1
68.143	2.658	41:2
68.288	-7.924	41:2.5
68.432	3.593	41:3
68.603	7.814	41:3.5
68.773	5.795	42:1
68.908	8.118	42:1.5
69.043	6.291	42:2
69.193	-1.933	42:2.5
69.343	8.535	42:3
69.700	4.757	43:1
69.844	8.767	43:1.5
69.989	5.112	43:2
70.125	-2.419	43:2.5
70.260	7.075	43:3
70.416	5.948	43:3.5
70.572	5.669	44:1
70.752	5.698	44:1.5
70.933	8.169	44:2
71.185	4.173	44:2.5
71.438	16.255	44:3
72.056	15.271	45:1
72.535	16.181	45:1.75
72.695	17.693	45:2
73.238	16.216	45:3
73.800	11.772	46:1
74.212	16.933	46:1.75
74.349	18.049	46:2
75.450	10.886	47:1
75.917	12.831	47:1.75
76.072	14.967	47:2
76.653	22.723	47:3
77.249	15.704	48:1
77.776	4.280	48:1.75
77.952	9.193	48:2
79.316	10.239	49:1
79.702	10.584	49:1.75
79.831	12.781	49:2
80.425	17.088	49:3
80.998	12.927	50:1
81.356	10.741	50:1.75
81.476	12.638	50:2
82.203	19.733	50:3
82.772	11.781	51:1
83.199	10.693	51:1.75
83.341	11.273	51:2
83.892	9.690	51:3
84.229	10.458	51:3.5
84.565	8.976	52:1
85.143	2.657	52:1.75
85.336	6.798	52:2
87.089	3.102	53:1
87.515	12.577	53:1.75
87.657	15.069	53:2
88.257	9.799	53:3
88.871	-2.107	54:1
89.366	9.020	54:1.75
89.531	7.849	54:2
90.877	-8.490	55:1
91.289	5.762	55:1.75
91.426	8.205	55:2
92.066	14.701	55:3
92.770	2.122	56:1
93.361	-5.371	56:1.75
93.558	-3.236	56:2
95.137	-2.402	57:1
95.530	3.833	57:1.75
95.661	5.946	57:2
96.251	14.142	57:3
96.871	3.567	58:1
97.345	5.155	58:1.75
97.504	4.885	58:2
98.210	9.891	58:3
98.972	-3.968	59:1
99.482	-0.425	59:1.75
99.652	0.067	59:2
100.662	1.934	59:3
101.775	-1.139	60:1
102.633	-3.905	60:1.5
103.492	-8.746	60:2
