###performance-id:	pid9071-04
###title:	        Mazurka in F major, Op. 68, No. 3
###trials:	        1
###date:	        2006/10/30/
###reverse-conductor:	Craig Stuart Sapp
###performer:	        Fou Ts'ong
###performance-date:	1993
###label:	        Sony SB2K 53 246
###label-title:	        Chopin Mazurkas
###offset:		0
###COM: Chopin, Frederic
###CDT: 1810///-1849///
###OTL: Mazurka in F Major, Op. 68, No. 3
###OPS: Op. 68
###ONM: No. 3
###OMD: Allegro ma non troppo
###ODT: ~1830///
###PDT: 1855///
###PPP: Berlin
###AIN: piano
###PARAM_k:		20
###PARAM_window:	Han
###PARAM_freqcor:	0.00000
###PARAM_lpforder:	300
###PARAM_lpfcutoff:	0.00100
###PARAM_processdate:	2008/03/08/
0.462	21.252	1:1
0.717	20.281	1:1.75
0.802	22.609	1:2
1.275	20.815	1:3
1.607	18.893	2:1
1.919	21.189	2:1.75
2.023	25.057	2:2
3.086	15.663	3:1
3.386	18.491	3:1.75
3.486	19.292	3:2
3.799	24.480	3:3
4.118	24.612	4:1
4.471	18.765	4:1.75
4.589	20.484	4:2
5.643	17.893	5:1
5.885	22.466	5:1.75
5.966	23.903	5:2
6.277	18.693	5:3
6.711	18.721	6:1
6.995	19.982	6:1.75
7.089	20.386	6:2
7.393	19.456	6:3
7.689	16.480	7:1
7.959	17.986	7:1.75
8.049	22.201	7:2
8.493	12.081	7:3
8.781	15.902	7:3.5
9.068	19.224	8:1
9.687	9.931	8:1.75
9.893	12.958	8:2
11.297	10.667	9:1
11.592	18.671	9:1.75
11.690	19.759	9:2
12.148	15.540	9:3
12.492	11.564	10:1
12.818	17.323	10:1.75
12.927	20.108	10:2
14.067	9.880	11:1
14.315	15.389	11:1.75
14.398	16.830	11:2
14.785	20.433	11:3
15.099	21.887	12:1
15.402	14.620	12:1.75
15.503	15.020	12:2
16.554	10.943	13:1
16.913	17.335	13:1.75
17.033	17.992	13:2
17.365	16.033	13:3
17.646	17.588	14:1
17.848	17.934	14:1.75
17.915	18.995	14:2
18.335	14.464	14:3
18.550	13.277	15:1
18.910	15.621	15:1.75
19.030	20.134	15:2
19.455	11.225	15:3
19.990	8.940	16:1
20.411	10.573	16:1.5
20.832	8.933	16:2
22.150	24.446	17:1
22.629	23.415	17:1.75
22.788	25.921	17:2
23.302	21.183	17:3
23.728	26.383	18:1
24.007	26.199	18:1.75
24.099	24.925	18:2
24.435	23.508	18:3
24.818	28.350	19:1
25.183	24.973	19:1.75
25.305	25.118	19:2
25.822	23.352	19:3
26.209	26.169	20:1
26.615	27.055	20:1.75
26.750	30.242	20:2
28.440	15.365	21:1
28.960	16.948	21:1.75
29.133	19.585	21:2
29.596	14.642	21:3
30.313	14.511	22:1
30.628	18.298	22:1.75
30.733	16.577	22:2
31.015	12.225	22:3
31.440	18.120	23:1
31.883	20.880	23:1.75
32.031	24.036	23:2
32.563	17.213	23:3
33.234	17.006	24:1
33.799	22.214	24:1.75
33.988	25.362	24:2
36.257	11.729	25:1
36.924	6.519	25:1.75
37.147	12.786	25:2
37.798	13.217	25:3
38.197	13.827	26:1
38.524	16.898	26:1.75
38.633	20.187	26:2
39.496	12.251	27:1
39.694	16.261	27:1.75
39.760	16.562	27:2
40.195	21.952	27:3
40.522	19.829	28:1
40.858	15.910	28:1.75
40.970	16.024	28:2
41.711	9.819	29:1
42.005	14.156	29:1.75
42.103	14.892	29:2
42.442	12.895	29:3
42.771	17.815	30:1
43.043	17.691	30:1.75
43.134	20.166	30:2
43.470	16.779	30:3
43.699	14.002	31:1
44.073	11.944	31:1.75
44.197	16.322	31:2
44.663	18.226	31:3
45.271	14.037	32:1
45.608	15.810	32:1.5
45.945	8.562	32:2
48.090	-9.679	33:1
48.546	-5.137	33:2
48.856	-0.279	33:3
49.160	1.456	34:1
49.360	-1.282	34:2
49.704	1.067	34:3
50.009	-2.729	35:1
50.256	9.049	35:2
50.472	4.694	35:3
50.797	7.881	36:1
51.105	7.450	36:2
51.342	14.818	36:3
51.641	17.586	37:1
51.818	12.001	37:2
51.950	7.315	37:2.5
52.082	9.651	37:3
52.236	12.019	37:3.5
52.390	11.474	38:1
52.484	8.695	38:1.5
52.579	8.838	38:2
52.725	11.585	38:2.5
52.871	19.991	38:3
53.187	11.817	39:1
53.283	13.392	39:1.5
53.380	12.316	39:2
53.529	6.943	39:2.5
53.678	12.647	39:3
53.779	10.791	39:3.5
53.880	6.329	40:1
54.045	6.551	40:1.5
54.209	7.245	40:2
54.331	8.573	40:2.5
54.453	13.912	40:3
54.768	15.358	41:1
54.956	11.886	41:2
55.091	8.115	41:2.5
55.227	10.171	41:3
55.376	10.548	41:3.5
55.524	10.598	42:1
55.621	11.160	42:1.5
55.719	11.588	42:2
55.868	10.407	42:2.5
56.017	15.915	42:3
56.379	9.842	43:1
56.471	9.560	43:1.5
56.563	11.144	43:2
56.734	13.066	43:2.5
56.904	18.302	43:3
57.059	13.863	43:3.5
57.214	12.698	44:1
57.468	11.924	44:1.5
57.722	8.623	44:2
58.258	-2.828	44:2.5
58.794	4.122	44:3
59.806	17.296	45:1
60.162	21.817	45:1.75
60.281	23.240	45:2
60.774	23.480	45:3
61.143	23.506	46:1
61.499	23.024	46:1.75
61.618	25.601	46:2
62.647	18.216	47:1
62.884	17.503	47:1.75
62.963	17.111	47:2
63.381	27.015	47:3
63.779	24.176	48:1
64.128	18.768	48:1.75
64.244	20.488	48:2
65.221	18.318	49:1
65.503	17.436	49:1.75
65.598	18.454	49:2
65.846	19.620	49:3
66.288	22.712	50:1
66.572	24.740	50:1.75
66.667	26.527	50:2
66.953	20.632	50:3
67.328	19.091	51:1
67.597	21.169	51:1.75
67.687	25.083	51:2
68.059	16.076	51:3
68.345	13.403	51:3.5
68.631	22.774	52:1
69.131	14.222	52:1.75
69.297	16.219	52:2
70.793	9.577	53:1
71.122	17.323	53:1.75
71.232	18.766	53:2
71.806	15.259	53:3
72.270	5.962	54:1
72.581	15.545	54:1.75
72.685	16.738	54:2
73.641	12.194	55:1
73.876	13.540	55:1.75
73.954	14.825	55:2
74.398	21.855	55:3
74.788	21.621	56:1
75.186	13.918	56:1.75
75.318	15.695	56:2
76.292	10.097	57:1
76.629	17.751	57:1.75
76.742	19.199	57:2
77.100	13.439	57:3
77.434	16.510	58:1
77.722	22.356	58:1.75
77.818	25.061	58:2
78.063	15.148	58:3
78.530	14.524	59:1
78.776	13.224	59:1.75
78.858	13.369	59:2
79.572	8.864	59:3
80.611	6.030	60:1
81.132	8.926	60:1.5
81.653	4.451	60:2
